id,activity_date,daily_average_heartrate,total_steps,total_distance,tracker_distance,logged_activities_distance,very_active_distance,moderately_active_distance,light_active_distance,sedentary_active_distance,very_active_minutes,fairly_active_minutes,lightly_active_minutes,sedentary_minutes,calories,total_minutes_asleep,total_sleep_records,total_time_in_bed,bmi,weight_kg,weight_pounds
1503960366,5/12/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,0,,,,,,
1844505072,4/24/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,1347,,,,,,
1844505072,4/25/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,1347,,,,,,
1844505072,4/26/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,1347,,,,,,
1844505072,5/2/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,1348,,,,,,
1844505072,5/7/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,1347,,,,,,
1844505072,5/8/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,1347,,,,,,
1844505072,5/9/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,1347,,,,,,
1844505072,5/10/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,1347,,,,,,
1844505072,5/11/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,1347,,,,,,
1927972279,4/16/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,2064,,,,,,
1927972279,4/17/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,2063,,,,,,
1927972279,4/19/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,2063,,,,,,
1927972279,4/20/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,2063,,,,,,
1927972279,4/21/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,2064,,,,,,
1927972279,4/27/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,2063,,,,,,
1927972279,4/29/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,2063,,,,,,
1927972279,4/30/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,2064,,,,,,
1927972279,5/5/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,2063,,,,,,
1927972279,5/8/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,2063,,,,,,
1927972279,5/9/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,2063,,,,,,
1927972279,5/10/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,2063,,,,,,
1927972279,5/11/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,2063,,,,,,
4020332650,4/13/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,1981,,,,,,
4020332650,4/19/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,1980,,,,,,
4020332650,4/20/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,1980,,,,,,
4020332650,4/21/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,1980,,,,,,
4020332650,4/22/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,1980,,,,,,
4020332650,4/23/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,1980,,,,,,
4020332650,4/24/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,1980,,,,,,
4020332650,4/25/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,1980,,,,,,
4020332650,4/26/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,1980,,,,,,
4020332650,4/27/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,1980,,,,,,
4020332650,4/28/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,1980,,,,,,
4020332650,4/29/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,1980,,,,,,
4020332650,4/30/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,1980,,,,,,
4020332650,5/1/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,1980,,,,,,
4057192912,4/14/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,1776,,,,,,
4319703577,4/12/2016,,7753,5.2,5.2,0,0,0,0,0,0,0,0,1440,2115,,,,,,
4388161847,4/12/2016,,10122,7.78,7.78,0,0,0,0,0,0,0,0,1440,2955,,,,,,
4702921684,5/1/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,2017,,,,,,
5577150313,5/7/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,1819,,,,,,
5577150313,5/8/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,1819,,,,,,
6117666160,4/12/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,1496,,,,,,
6117666160,4/13/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,1496,,,,,,
6117666160,4/14/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,1496,,,,,,
6117666160,4/25/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,1497,,,,,,
6117666160,5/3/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,1496,,,,,,
6290855005,4/21/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,2060,,,,,,
6290855005,4/26/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,2060,,,,,,
6290855005,4/29/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,2060,,,,,,
6290855005,5/10/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,0,,,,,,
6775888955,4/12/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,1841,,,,,,
6775888955,4/19/2016,106.4,0,0,0,0,0,0,0,0,0,0,0,1440,1841,,,,,,
6775888955,4/21/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,1841,,,,,,
6775888955,4/23/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,1841,,,,,,
6775888955,4/27/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,1841,,,,,,
6775888955,4/29/2016,82.33,0,0,0,0,0,0,0,0,0,0,0,1440,1841,,,,,,
6775888955,5/2/2016,,0,0,0,0,0,0,0,0,0,0,0,1440,1841,,,,,,
